name	current	proposed	katakana	note
theodore	seodore	seodoa	セオドア
elijah	erijahu	iraija	イライジャ
eleanor	ereanoru	erenoa	エレノア
levi	rebi	rībai	リーヴァイ
violet	bioreto	baioreto	バイオレット
elias	eriasu	iraiasu	イライアス	⚠英語読み採用（西語系ならエリアス=eriasu）
aurora	aurora	ōrora	オーロラ
harper	haruperu	hāpā	ハーパー
sebastian	sebasutian	sebasuchan	セバスチャン	⚠セバスティアン表記もあり
hudson	hudoson	hadoson	ハドソン
hazel	hazeru	heizeru	ヘイゼル
ellie	erie	erī	エリー
cooper	kooperu	kūpā	クーパー
isla	isura	aira	アイラ
asher	asheru	ashā	アッシャー
lainey	rainei	reinī	レイニー
scarlett	sukareto	sukāreto	スカーレット	normで同一・辞書不要
gianna	giana	jiana	ジアンナ
layla	raira	reira	レイラ
avery	aberi	eiburī	エイヴリー
wyatt	uyato	waiato	ワイアット
ivy	ibi	aibī	アイビー
jacob	jakobu	jeikobu	ジェイコブ
willow	wirou	wirō	ウィロー
miles	miresu	mairuzu	マイルズ
carter	karuteru	kātā	カーター
isaac	isaaku	aizaku	アイザック
riley	rirei	rairī	ライリー
charles	charesu	chāruzu	チャールズ
eloise	eroise	eroīzu	エロイーズ
sadie	sadie	seidi	セイディ
thiago	siago	tiago	チアゴ
delilah	derirahu	deraira	デライラ
wesley	wesurei	wesurī	ウェスリー
josephine	josefine	josefin	ジョセフィン
josiah	josiahu	josaia	ジョサイア
waylon	wairon	weiron	ウェイロン
isaiah	isaiahu	aizaia	アイザイア
leah	reahu	ria	リア
caleb	karebu	keirebu	ケイレブ	⚠聖書名はカレブ=karebu
adeline	aderine	aderain	アデライン	⚠アデリン=aderin もあり
beau	beau	bō	ボー
iris	irisu	airisu	アイリス
aiden	aiden	eiden	エイデン
nathan	nasan	neisan	ネイサン
brooks	burookusu	burukusu	ブルックス
alice	arise	arisu	アリス
genesis	genesisu	jeneshisu	ジェネシス
paisley	paisurei	peizurī	ペイズリー
angel	angeru	enjeru	エンジェル	⚠西語系ならアンヘル=anheru
claire	kuraire	kurea	クレア
zoey	zoei	zōi	ゾーイ
lincoln	rinkorun	rinkān	リンカーン
jayden	jaiden	jeiden	ジェイデン
silas	sirasu	sairasu	サイラス
millie	mirie	mirī	ミリー
adrian	adorian	eidorian	エイドリアン	⚠アドリアンもあり
daisy	daisi	deijī	デイジー
maeve	maebe	meibu	メイヴ
cameron	kameron	kyameron	キャメロン
ayla	aira	aira	アイラ	normで同一・辞書不要
everett	ebereto	ebereto	エヴェレット	変更なし
walker	warukeru	wōkā	ウォーカー
axel	akusueru	akuseru	アクセル
lyla	rira	raira	ライラ
madeline	maderine	maderin	マデリン	⚠マデライン=maderain もあり
august	augusuto	ōgasuto	オーガスト
josie	josie	joshī	ジョシー
theo	seo	seo	セオ	変更なし
audrey	audorei	ōdorī	オードリー
arthur	arusuru	āsā	アーサー
autumn	autumun	ōtamu	オータム
jeremiah	jeremiahu	jeremaia	ジェレマイア
natalie	natarie	natarī	ナタリー
micah	mikahu	maika	マイカ
everly	eberi	ebārī	エヴァリー
kinsley	kinsurei	kinzurī	キンズリー
jade	jade	jeido	ジェイド
caroline	karorine	kyarorain	キャロライン
christian	kurisutian	kurisuchan	クリスチャン
eithan	eisan	īsan	イーサン
archer	arucheru	āchā	アーチャー
georgia	georugia	jōjia	ジョージア
juniper	juniperu	junipā	ジュニパー
myles	miresu	mairuzu	マイルズ
aaliyah	aariyahu	arīya	アリーヤ
margot	marugoto	māgo	マーゴ
parker	parukeru	pākā	パーカー
hailey	hairei	heirī	ヘイリー
eli	eri	īrai	イーライ
amir	amiru	amīru	アミール	normで同一・辞書不要
xavier	kusuabieru	zabieru	ザビエル	⚠英語読みはエグゼイビア（表現不可のためザビエル採用）
athena	asena	atena	アテナ	⚠英語読みはアシーナ=ashīna
juliette	juriete	jurieto	ジュリエット
easton	easuton	īsuton	イーストン
river	riberu	ribā	リバー
margaret	marugareto	māgareto	マーガレット
nicholas	nichorasu	nikorasu	ニコラス	ch=k音
cora	kora	kōra	コーラ	normで同一・辞書不要
austin	ausutin	ōsutin	オースティン
rose	rose	rōzu	ローズ
jace	jase	jeisu	ジェイス
eliza	eriza	iraiza	イライザ
jaxon	jakusuon	jakuson	ジャクソン
raelynn	raerin	reirin	レイリン
brooklyn	burookurin	burukurin	ブルックリン
callum	karumu	karamu	カラム
esther	eseru	esutā	エスター
milo	miro	mairo	マイロ
hallie	harie	harī	ハリー
graham	gurahamu	gureamu	グレアム	⚠グラハムもあり
hadley	hadorei	hadorī	ハドリー
emerson	emeruson	emāson	エマーソン
sawyer	sauyeru	sōyā	ソーヤー
elsie	erusie	erushī	エルシー
giovanni	giobani	jobani	ジョバンニ
carson	karuson	kāson	カーソン
dean	dean	dīn	ディーン
scottie	sukotie	sukoti	スコッティ
valerie	barerie	barerī	ヴァレリー
jonah	jonahu	jona	ジョナ
jasper	jasuperu	jasupā	ジャスパー
hunter	hunteru	hantā	ハンター
jordan	jorudan	jōdan	ジョーダン
charlie	charie	chārī	チャーリー
ryder	rideru	raidā	ライダー
malachi	marachi	marakai	マラカイ	ch=k音
savannah	sabanahu	sabana	サバンナ
kayden	kaiden	keiden	ケイデン
stetson	sutetson	sutetoson	ステットソン
rylee	riree	rairī	ライリー
